person_id,w_I_mean,w_I_std,w_E_mean,w_E_std,w_U_mean,w_U_std,aI_pos_mean,aI_pos_std,aI_neg_mean,aI_neg_std,a_E_mean,a_E_std,a_U_mean,a_U_std,true_w_I,true_w_E,true_w_U,true_aI_pos,true_aI_neg,true_a_E,true_a_U
10,0.826297290394327,0.2735211729828893,0.6259632042064064,0.2573404807206327,0.6226129293133039,0.2032722256271291,0.7332798619292473,0.1555138330507738,0.5220121799158879,0.17036645463675448,0.4352862863474914,0.163096889842999,0.5243772268961013,0.1666040620196504,0.2013931055340026,0.8005872329370536,0.8712886357203695,0.2352797719772772,0.1926047131593847,0.275391640774734,0.1224582397438813
11,0.8321182748705396,0.2747654311861885,0.6077741253690981,0.24287661333971686,0.6119167447559636,0.20323190904412114,0.7343239282700254,0.1604187289871081,0.5268609832563409,0.16836785461411224,0.436525197430772,0.1653213385784335,0.525785867661313,0.16249002761844633,0.7145640263656197,0.2601364744178802,0.6004838341829771,0.1600773084462065,0.1405972151551535,0.1332085646623281,0.2398119644261159
12,0.8350936638896341,0.26820334870265355,0.6157144973152285,0.23056559911788432,0.6173720445135431,0.2073705399206096,0.7398514247142679,0.15111703311655614,0.5240489929438291,0.1705313228295276,0.4394126505329347,0.16523994479597826,0.5315587372997923,0.1588879148162683,0.6412007318548061,0.2316370070062043,0.8258388944009052,0.2339840218984957,0.1791011552736485,0.1259455654070431,0.0819917120532556
13,0.8483137126607999,0.26966437066240334,0.61157127827732,0.23835277257320855,0.6280157793266075,0.20280594514017086,0.7360010062733374,0.15265732025066672,0.522605649799234,0.1699413801018472,0.43480008257844904,0.15783785345185367,0.5238531753749237,0.16051510352003714,0.9980238442382884,0.9452763984539136,0.4633942078988762,0.2371763103079759,0.1992616883927819,0.0579734219458459,0.2161074659328485
14,0.8314521393101593,0.2715977107317189,0.6221199428364166,0.243375945863268,0.618155627564046,0.19746741307236904,0.733628896421119,0.15502410059063357,0.5252024876581818,0.17048855474930585,0.43945448182915803,0.1624353360774464,0.5336583631322558,0.15495972712069653,0.3285539089456544,0.5412434153763928,0.284177136348628,0.1749203146756926,0.0916682080871203,0.1552650688187689,0.2971080342489688
15,0.8467040559810425,0.2717515009256101,0.6248110510804761,0.24752547674213862,0.6198042311106435,0.1956524620516575,0.7316642767855954,0.15811270838444347,0.5197263855015466,0.16575964091098577,0.43829462958209736,0.16234468887961895,0.52858031196048,0.1628841797850933,0.4350257174932772,0.6535073653916471,0.4983768299463779,0.0898380181780424,0.0994858252789622,0.1113350742226541,0.0883305498982855
16,0.8359010643648822,0.27703827582983614,0.614341171829169,0.2356224246529545,0.6331601347454225,0.20956243262835608,0.7283551328188692,0.15467077068697946,0.5324991923041145,0.16848644417197764,0.435349560580024,0.1633807544962262,0.522912104691241,0.1601247502129097,0.7342487532353148,0.5342763063501647,0.2410885471842401,0.226738974984261,0.1328160053736647,0.054553295419079,0.2416656549957028
17,0.8308617194245298,0.2747240149841363,0.6228570035904263,0.2439174776803726,0.6159184537899521,0.20127078939856022,0.7268190327510711,0.160013396515872,0.522269423500818,0.17215264340296554,0.4370054436649021,0.15870092905671873,0.5262350639265754,0.1634566109984505,0.7016339348440539,0.4449713149608842,0.5360574919474816,0.1351479685145796,0.1817685415855795,0.1616973487726941,0.1595881484053357
18,0.837065008125553,0.27987877500799774,0.6175840640041353,0.23771414468783136,0.6162129166856956,0.20047138324232505,0.7312770985224618,0.15675969503407255,0.524704472993039,0.1690414070662041,0.43756884744653907,0.16012954637274615,0.5300621182985796,0.16265901011131917,0.6245769861255381,0.709054940094286,0.4878233013519937,0.1610360242746062,0.1660087372194658,0.2706337338240837,0.076152199603676
19,0.8306222782176654,0.2702851457302275,0.6169111893582613,0.24298231101082163,0.6176207267240855,0.20295953541752562,0.7266866695231867,0.15975548608991977,0.5249618964398217,0.17128843542558514,0.43462566805275543,0.16216570135129638,0.5262843156912552,0.16494387409692424,0.6140659972043179,0.5942813292056144,0.3320793324917761,0.0623057030611148,0.0550450480073522,0.096414470742771,0.0898041551157444
20,0.8159331248755289,0.2855426950688578,0.6267980467235134,0.23640139482890007,0.6240257114793204,0.20298448602914168,0.7288082317382844,0.16082153046737016,0.527415421998971,0.1740357036916526,0.4390906743897342,0.1630948822903295,0.5225653727313245,0.1604603776916249,0.2853427029965469,0.943159068595238,0.4758909462535862,0.0557465255720464,0.0583298878943952,0.2231563036209805,0.2084695317645488
21,0.8339096587758013,0.2741671902941138,0.6183468821209094,0.23579483636635315,0.6227362190384026,0.20328703418263064,0.7322624493385961,0.1581100621373103,0.5226402274023534,0.16612235272421352,0.4348428887292382,0.161468609763785,0.5270113407047379,0.1602397526589808,0.2856927111540878,0.3645787310788657,0.2895757796398439,0.2195434494482149,0.2124038036968643,0.2085431882878201,0.2562650672186658
